Id;Label;Group 
B1;B1;Blue
B2;B2;Blue
B3;B3;Blue
B4;B4;Blue
B5;B5;Blue
B6;B6;Blue
Y1;Y1;Yellow
Y2;Y2;Yellow
Y3;Y3;Yellow
Y4;Y4;Yellow
Y5;Y5;Yellow
Y6;Y6;Yellow
R1;R1;Red
R2;R2;Red
R3;R3;Red
R4;R4;Red
R5;R5;Red
R6;R6;Red
G1;G1;Green
G2;G2;Green
G3;G3;Green
G4;G4;Green
G5;G5;Green
G6;G6;Green
P1;P1;PInk
P2;P2;PInk
P3;P3;PInk
P4;P4;PInk
P5;P5;PInk
P6;P6;PInk
Coworker;Coworker;Black
Teacher;Theacher;Black
Comunity;Comunity;Black
Company;Company;Black
Friend;Friend;Black
Family;Family;Black
